"idCar","StartTimeStamp","StartLat","StartLon","FinishTimestamp","FinishLat","FinishLon"
"35","1401600481000","36.0762253","24.87468932","1401600924000","36.07333683","24.86421942"
"4","1401601981000","36.07332875","24.86418589","1401610156000","36.06409512","24.84126251"
"101","1401613413000","36.06405761","24.84137818","1401615539000","36.050888","24.82597005"
"104","1401618867000","36.05092255","24.82597697","1401622936000","36.06338067","24.85103902"
"4","1401624001000","36.06346403","24.85097294","1401629182000","36.04803029","24.87957094"
"30","1401632281000","36.04803177","24.87956841","1401632667000","36.04804057","24.87957385"
"101","1401634410000","36.04802115","24.87957058","1401657302000","36.04802174","24.87956959"
"1","1401660061000","36.04802471","24.87957304","1404173642000","36.06643937","24.88259434"
"1","1404181201000","36.06645565","24.88262136","1404182110000","36.07682632","24.8659217"
"15","1404193021000","36.07685752","24.86589184","1404193463000","36.07332795","24.86422942"
"4","1404194161000","36.07335772","24.86417021","1404200290000","36.04807086","24.87956659"
"2","1404200920000","36.04803206","24.8795654","1404203342000","36.05413626","24.90813697"
"101","1404204971000","36.05420832","24.90813251","1404214984000","36.05196257","24.87084285"
"30","1404216230000","36.05194611","24.87080612","1404221885000","36.04804255","24.87956535"
"105","1404223411000","36.0480273","24.87957265","1404223691000","36.05842665","24.88556292"
"106","1404224547000","36.05844508","24.88547117","1404226576000","36.05855526","24.88087037"
"105","1404228188000","36.05852367","24.88091539","1404228666000","36.04807832","24.87957241"
"106","1404230641000","36.04802413","24.87956915","1404245383000","36.06036472","24.90560193"
"21","1404246181000","36.06043409","24.90565706","1406882715000","36.05848568","24.88545378"
"105","1406883410000","36.05847636","24.88553118","1406883690000","36.05412646","24.90820856"
"106","1406884622000","36.05418223","24.90810214","1406899885000","36.048038","24.87957235"
"105","1406902806000","36.04802519","24.87956627","1406903744000","36.04804657","24.87957161"
"104","1406904775000","36.04803154","24.8795683","1406904908000","36.05852185","24.8808983"
"105","1406907539000","36.05851786","24.88089399","1406921797000","36.06719059","24.88596361"
"8","1406922415000","36.0673003","24.88587989","1406933822000","36.06647822","24.8826179"
"1","1409538001000","36.06645717","24.88261133","1409539218000","36.0625174","24.89878371"
"24","1409549761000","36.06244323","24.89881931","1409560610000","36.05421456","24.9081956"
"101","1409561722000","36.05413265","24.90814722","1409561774000","36.05848458","24.88544839"
"105","1409563046000","36.0584332","24.88548642","1409583463000","36.04804177","24.87956699"
"104","1409585002000","36.04802446","24.87957594","1409604385000","36.08657807","24.857577"
"3","1412140861000","36.08669329","24.85756832","1412142504000","36.07335872","24.86420642"
"4","1412143261000","36.0733594","24.86418569","1412148730000","36.04806989","24.87957536"
"2","1412150625000","36.04803013","24.87957407","1412151281000","36.05847418","24.88546869"
"101","1412154363000","36.05847576","24.88552745","1412193344000","36.07679337","24.86589049"
"10","1412194801000","36.07685474","24.8658919","1412199833000","36.0844562","24.86423392"
"7","1412200801000","36.08442703","24.86419482","1412204293000","36.08783945","24.85634139"
"19","1414801321000","36.08791041","24.85630532","1414840401000","36.06946652","24.84160085"
"15","1414844821000","36.06947384","24.84150622","1414847464000","36.06586962","24.85237454"
"12","1414848241000","36.06584556","24.85237445","1414858922000","36.06250277","24.89875574"
"24","1414862641000","36.06243228","24.89886904","1414868259000","36.05442529","24.89988793"
"8","1414869121000","36.05442247","24.89989271","1414881617000","36.06583808","24.85240526"
"29","1414882501000","36.06582475","24.85241027","1414882680000","36.07663772","24.8576127"
"29","1414884061000","36.07660977","24.85756422","1414884314000","36.06773925","24.87149296"
"29","1414886101000","36.06774623","24.8714995","1414886397000","36.06107587","24.89145466"
"29","1417392003000","36.06104047","24.89203705","1417433575000","36.05591615","24.90253169"
"30","1417436761000","36.05582372","24.90254057","1417439614000","36.08951424","24.86064573"
"10","1417440395000","36.08960158","24.86069606","1417443446000","36.06649666","24.88240653"
"1","1417446841000","36.06646999","24.88262915","1417462744000","36.06034702","24.90563172"
"16","1417463401000","36.06044503","24.90564069","1417467363000","36.0633697","24.89614442"
"14","1417476061000","36.06340962","24.8961713","1420094064000","36.07334128","24.86422562"
"4","1420094761000","36.0733346","24.86416419","1420101599000","36.05158111","24.87957595"
"9","1420102346000","36.04803033","24.87956526","1420103070000","36.06403102","24.84131564"
"101","1420107548000","36.06409552","24.8414329","1420116323000","36.05444903","24.89995554"
"29","1420117201000","36.05448934","24.89997907","1420121939000","36.05048864","24.8261485"
"101","1420125877000","36.0510062","24.82598723","1420153693000","36.07821967","24.87211744"
"21","1422760801000","36.07819286","24.87214469","1422762236000","36.06043867","24.90556951"
"21","1422772681000","36.0603572","24.90566114","1422780743000","36.05089556","24.82591228"
"101","1422781425000","36.05096477","24.82586806","1422789813000","36.05903501","24.89267146"
"24","1422791521000","36.05894678","24.89277554","1422801261000","36.05410934","24.90814485"
"106","1422802728000","36.05420482","24.908102","1422806522000","36.04805722","24.87956874"
"20","1422807436000","36.04802288","24.87956851","1422807570000","36.04803563","24.87956552"
"105","1422808450000","36.04803013","24.87956538","1422820032000","36.08550991","24.86037451"
"2","1422820921000","36.08543115","24.86042993","1422827081000","36.08445046","24.86422398"
"7","1425191041000","36.08445966","24.86423451","1425202631000","36.05848922","24.8854701"
"105","1425204484000","36.05844129","24.88552673","1425214202000","36.06323985","24.85097343"
"29","1425215341000","36.06348766","24.85097609","1425220372000","36.0480419","24.87956867"
"105","1425223001000","36.04802389","24.87957057","1425245159000","36.05942017","24.89501576"
"29","1425246601000","36.05945083","24.89478206","1425249422000","36.04803026","24.87957655"
"1","1427843341000","36.04802716","24.87956907","1427843582000","36.06645318","24.88258761"
"1","1427866201000","36.06650603","24.88265687","1427866344000","36.07332987","24.86421878"
"4","1427867821000","36.07333896","24.86419594","1427877374000","36.05410535","24.90808894"
"101","1427878451000","36.05412925","24.90807045","1427878502000","36.05845264","24.88541875"
"105","1427880140000","36.05845956","24.8854696","1427884531000","36.05449445","24.8999302"
"105","1427885393000","36.05447503","24.89992997","1427919825000","36.07257301","24.8749658"
"28","1430457181000","36.07352802","24.87510166","1430457332000","36.06755471","24.87332202"
"35","1430459581000","36.06751231","24.87330651","1430465470000","36.04807951","24.87957087"
"9","1430467136000","36.04802661","24.8795742","1430467353000","36.0584553","24.8854959"
"107","1430472293000","36.05844325","24.88553455","1430511520000","36.06050558","24.90531529"
"21","1430512621000","36.06043476","24.90559558","1430516702000","36.06644798","24.88261754"
"1","1433149321000","36.06648797","24.88263248","1433154386000","36.08063286","24.84676787"
"13","1433157241000","36.08067087","24.84687083","1433181122000","36.06035126","24.85650254"
"30","1433181841000","36.0603738","24.85654194","1433187371000","36.08429059","24.8564021"
"9","1433199421000","36.08432477","24.85645418","1433199597000","36.06672766","24.88375389"
"28","1435705200000","36.06657987","24.88416039","1435754129000","36.0549329","24.90177447"
"23","1435755361000","36.05495641","24.90176782","1435763198000","36.0768222","24.8658673"
